规范番号,系列,标题,AsiaMonstr文章日期,AsiaMonstr详情页,当前官网目录状态,官方资源HEAD地址,HTTP状态,Content-Type,Content-Length,历史记录位置,核查时间,确认结果,说明
GHPM-89,GHPM,GHPM-89 Heroine Twisty Bondage Beautiful Brave Woman,"December 26, 2015",https://www.asiamonstr.com/giga/ghpm-89-heroine-twisty-bondage-beautiful-brave-woman-vehement-mask-red-and-white-rina-utimura.html,完整扫描未收录,https://www.giga-web.jp/db_titles/ghpm/ghpm89/pac_s.jpg,200,image/jpeg,98290,,2026-09-12T21:44:46+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GHPM-98,GHPM,GHPM-98 Black Dress Temptation Vol.9 Beautiful Mask Aurora,"January 24, 2016",https://www.asiamonstr.com/giga/ghpm-98-black-dress-temptation-vol-9-beautiful-mask-aurora-fairy-and-wind-emiri-takayama-mai-tamaki.html,完整扫描未收录,https://www.giga-web.jp/db_titles/ghpm/ghpm98/pac_s.jpg,200,image/jpeg,108776,,2026-09-12T21:44:46+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GIGP-12,GIGP,GIGP-12 Spandexer -Extra Domination-,"October 24, 2019",https://www.asiamonstr.com/giga/gigp-12-spandexer-extra-domination-rina-otomi.html,完整扫描未收录,https://www.giga-web.jp/db_titles/gigp/gigp12/pac_s.jpg,200,image/jpeg,112162,,2026-09-12T21:44:46+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GIGP-19,GIGP,GIGP-19 Sexy Mask -Seven Perverts,"October 27, 2020",https://www.asiamonstr.com/giga/gigp-19-sexy-mask-seven-perverts-misato-nonomiya.html,完整扫描未收录,https://www.giga-web.jp/db_titles/gigp/gigp19/pac_s.jpg,200,image/jpeg,331750,,2026-09-12T21:44:47+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GIGP-22,GIGP,GIGP-22 Sailor Tifana and Melius -Sexually Corrupted Sailor Suit,"November 5, 2020",https://www.asiamonstr.com/giga/gigp-22-sailor-tifana-and-melius-sexually-corrupted-sailor-suit-mitsuki-nagisa-mio-ichijyo.html,完整扫描未收录,https://www.giga-web.jp/db_titles/gigp/gigp22/pac_s.jpg,200,image/jpeg,354908,0f1fe95ab25224f11cfd8fe304a3ed14a4fdd3ec:public/data/catalog.json; 8104579b6cc7411748b1685868af22e5b8d0dd77:public/data/catalog.json; D:\giga-catalog\data.json:video 1115; D:\giga-catalog\links.json:key GIGP-22; b2f7a3e714bd49d9fa8c262d4460ce09c5286ec0:public/data/catalog.json; b8c1609c6eab57a96d6486d18175d4ee1c52d257:public/data/catalog.json; fb07a3ad9a69a3a57c96eab4405e1d5f45c507ed:public/data/catalog.json,2026-09-12T21:44:47+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GIGP-4,GIGP,"GIGP-04 Evil Female Cadre Wizabell Reika Hashimoto, Yua Nanami","October 31, 2018",https://www.asiamonstr.com/giga/gigp-04-evil-female-cadre-wizabell-reika-hashimoto-yua-nanami.html,完整扫描未收录,https://www.giga-web.jp/db_titles/gigp/gigp04/pac_s.jpg,200,image/jpeg,409966,,2026-09-12T21:44:47+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GIGP-5,GIGP,"GIGP-05 U.S.A. Super Heroine -Accel Girl VS Dyna Woman Miki Sunohara, Hana Misora","November 3, 2018",https://www.asiamonstr.com/giga/gigp-05-u-s-a-super-heroine-accel-girl-vs-dyna-woman-miki-sunohara-hana-misora.html,完整扫描未收录,https://www.giga-web.jp/db_titles/gigp/gigp05/pac_s.jpg,200,image/jpeg,698497,,2026-09-12T21:44:48+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GIGP-8,GIGP,GIGP-08 Power Lady2 -Stolen Love Juice! Heroine Incest Plan! Misato Nonomiya,"November 3, 2018",https://www.asiamonstr.com/giga/gigp-08-power-lady2-stolen-love-juice-heroine-incest-plan-misato-nonomiya.html,完整扫描未收录,https://www.giga-web.jp/db_titles/gigp/gigp08/pac_s.jpg,200,image/jpeg,278395,,2026-09-12T21:44:48+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GIMG-11,GIMG,GIMG-11 Heroine Image Factory11 Marvelous Mask,"November 1, 2017",https://www.asiamonstr.com/giga/gimg-11-heroine-image-factory11-marvelous-mask-shizuku-hasegawa.html,完整扫描未收录,https://www.giga-web.jp/db_titles/gimg/gimg11/pac_s.jpg,200,image/jpeg,70562,,2026-09-12T21:44:48+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GIMG-13,GIMG,GIMG-13 Heroine Image Factory Daytona Pink,"September 16, 2015",https://www.asiamonstr.com/giga/gimg-13-heroine-image-factory-daytona-pink-yurina-ayashiro.html,完整扫描未收录,https://www.giga-web.jp/db_titles/gimg/gimg13/pac_s.jpg,200,image/jpeg,62426,,2026-09-12T21:44:49+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GIMG-16,GIMG,"GIMG-16 Heroine Image Factory16 Rui, the Attractive Investigator An Mizuki","December 6, 2017",https://www.asiamonstr.com/giga/gimg-16-heroine-image-factory16-rui-the-attractive-investigator-an-mizuki.html,完整扫描未收录,https://www.giga-web.jp/db_titles/gimg/gimg16/pac_s.jpg,404,text/html; charset=iso-8859-1,,,2026-09-12T21:44:49+08:00,当前官网目录缺失，只有第三方历史线索,完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。
